Number,Short description,Assignment group,Issue Tag,Codes,TICKET_PROBLEM_TKTNOTE_ORIG,traincolumn
INC0004038861,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004039501,sap : pmt : elster p11 sap application : sales,SAP App Order Mgmt Run (NTT Data),,28,SAP : PMT : Elster P11 SAP Application : Sales, sap pmt elster p11 sap application sales
INC0004039005,"market , medium,aero,e162022",SAP App CS Run (NTT Data),,18,"AFTER MARKET , MEDIUM,AERO,E162022", market medium aero e162022
INC0004039667,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004038080,sap unlock/password reset - aero arp,Service Desk (US:GBL),Account Locked/Password Reset,47,SAP Unlock/Password Reset - AERO ARP, sap unlock password reset aero arp
INC0004039428,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040753,incorrect data flowing z6b myp #nembor#,SAP App FICO Run (NTT Data),,21,Incorrect data flowing in Z6B for MYP-000086, incorrect data flowing z6b myp nembor
INC0004037954,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004039277,job bwp-c-cpsbiem048352 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBIEM048352 FAILURE Code 1 , job bwp c cpsbiem048352 failure code nembor
INC0004035186,sap : need help filling timesheet efforts,SAP App HR Run (NTT Data),Timesheet Issue,25,SAP :  Need help in filling Timesheet efforts, sap need help filling timesheet efforts
INC0004036686,"supply chaina , medium , <<hbt>> , h185200",SAP App Logistics Run (NTT Data),,26,"SUPPLY CHAINA , MEDIUM , <<HBT>> , H185200", supply chaina medium hbt h185200
INC0004038085,issue : flexible holiday,SAP App HR Run (NTT Data),Leaves Issue,25,Issue : Flexible Holiday, issue flexible holiday
INC0004038299,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004039567,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004038095,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036210,"finance controllinga , medium , <<hbt>> , e580226",SAP App FICO Run (NTT Data),,21,"FINANCE AND CONTROLLINGA , MEDIUM , <<HBT>> , E580226", finance controllinga medium hbt e580226
INC0004038309,sap : aero : application module issue : aftermarket / customer service,SAP App CS Run (NTT Data),,18,SAP : AERO : Application or Module issue : Aftermarket / Customer Service, sap aero application module issue aftermarket customer service
INC0004036052,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004039868,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004036838,"project systemsp , medium,pmt,e341517",SAP App TECH Run (NTT Data),,35,"PROJECT SYSTEMSP , MEDIUM,PMT,E341517", project systemsp medium pmt e34151
INC0004041241,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004038883,activate mass delete functionality t-code qa08.,SAP App Configuration (NTT Data),,19,Activate mass delete functionality in t-code QA08., activate mass delete functionality t code qa08
INC0004039586,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004040892,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004041224,"project systemsa , medium , <<hbt>> , h314583",SAP App Sourcing Run (NTT Data),,34,"PROJECT SYSTEMSA , MEDIUM , <<HBT>> , H314583", project systemsa medium hbt h314583
INC0004041057,sap : corp : password reset :,SAP Security (TCS),Account Locked/Password Reset,42,SAP : CORP : Password Reset : , sap corp password reset
INC0004040118,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004039173,sap : aero : application module issue : sourcing,SAP App Sourcing Run (NTT Data),,34,SAP : AERO : Application or Module issue : Sourcing, sap aero application module issue sourcing
INC0004035259,job erp-c-cga-fi-zfir-ival-payment-info alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFIR-IVAL-PAYMENT-INFO ALARM  MAXRUNALARM Code  , job erp c cga fi zfir ival payment info alarm maxrunalarm code
INC0004039505,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035660,sap : aero : application module issue : order management,SAP App FICO Run (NTT Data),,21,SAP : AERO : Application or Module issue : Order Management, sap aero application module issue order management
INC0004036674,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004036979,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004036000,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004038740,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004037856,sap : pmt : password reset : sid,SAP Security (TCS),Account Locked/Password Reset,42,SAP : PMT : Password reset : Any Other SID, sap pmt password reset sid
INC0004039865,sap : qt #nembor# got mwst issue,SAP App FICO Run (NTT Data),,21, SAP : QT 21946644 got MWST issue, sap qt nembor got mwst issue
INC0004039426,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004037742,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004039292,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004040455,#ooo #nembor# #nembor# sap : rfc error creating tr esm,SAP Basis Support (Hon),,38,#OOO 4/9 SAP : RFC Error while creating the TR in ESM, ooo nembor nembor sap rfc error creating tr esm
INC0004036193,"market , medium,aero,e386317",SAP App Sourcing Run (NTT Data),,34,"AFTER MARKET , MEDIUM,AERO,E386317", market medium aero e38631
INC0004041291,"corp/erp900/prod/user reactivation/time & attendancec , medium,corp,h187793",SAP Security (TCS),Account Activation/Enabling Request,42,"CORP/ERP900/PROD/User Reactivation/TIME & ATTENDANCEC , MEDIUM,CORP,H187793", corp erp 00 prod user reactivation time attendancec medium corp h18 3
INC0004036277,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004034943,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004037020,sap : aero : application module issue : manufacturing/ planning & scheduling,SAP App Manufacturing Run (NTT Data),,27,SAP : AERO : Application or Module issue : Manufacturing/ Planning & Scheduling, sap aero application module issue manufacturing planning scheduling
INC0004039250,emea siop weekly background job coe update,SAP App APO Manufacturing Run (NTT Data),Job Failure,11,EMEA SIOP WEEKLY BACKGROUND JOB COE UPDATE, emea siop weekly background job coe update
INC0004039316,sap : change pick/pack date gr date plant #nembor# ( brp #nembor#),SAP App Configuration (NTT Data),,19,SAP : Change pick/Pack date and GR date for plant 4466 ( BRP 900), sap change pick pack date gr date plant nembor brp nembor
INC0004035120,pmt : analytics : sap hana - hps : application issue,Analytics SAPHANA Run (NTT Data),,3,PMT : Analytics : SAP HANA - HPS  : Application Issue, pmt analytics sap hana hps application issue
INC0004036421,sap : pmt : pmt sap application : order management,SAP App Order Mgmt Run (NTT Data),,28,SAP : PMT : PMT SAP Application : Order Management, sap pmt pmt sap application order management
INC0004040811,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035236,job aup-ci-c-ps-d-ecosys1-ph failure code #nembor#,SAP App Batch Run - PMT (NTT Data),Job Failure,15,JOB AUP-CI-C-PS-D-ECOSYS1-PH FAILURE Code 2 , job aup ci c ps d ecosys1 ph failure code nembor
INC0004036334,"market , medium,aero,e630892",SAP App CS Run (NTT Data),,18,"AFTER MARKET , MEDIUM,AERO,E630892", market medium aero e6308 2
INC0004037484,"market , medium,aero,e548610",SAP App Sourcing Run (NTT Data),,34,"AFTER MARKET , MEDIUM,AERO,E548610", market medium aero e548610
INC0004038541,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035988,hbt/brp/prod : sap: access apply,SAP Security (TCS),Access Request,42,HBT/BRP/PROD : SAP: access apply  , hbt brp prod sap access apply
INC0004041384,e298066: vhp-brp: fiori time entry,SAP App PS Project Systems Run (NTT Data),Timesheet Issue,29,E298066: VHP-BRP: FIORI Time Entry, e2 8066 vhp brp fiori time entry
INC0004037241,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004038391,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004035279,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036268,po #nembor#/ poso failed,SAP App Sourcing Run (NTT Data),,34,PO#4415585237/ POSO Failed, po nembor poso failed
INC0004040998,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004039047,job bwp-c-cpsbina010101 failure code #nembor#,Analytics Batch Run (NTT Data),Job Failure,0,JOB BWP-C-CPSBINA010101 FAILURE Code 1 , job bwp c cpsbina010101 failure code nembor
INC0004038798,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004038617,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004039804,sap : invoices retrieval old sap client #nembor#,SAP App Order Mgmt Run (NTT Data),,28,SAP : Invoices retrieval from Old SAP Client 500, sap invoices retrieval old sap client nembor
INC0004039635,hra - usage tracking report - aug #nembor#,Analytics OBIEE Run (NTT Data),,1,HRA - Usage Tracking Report - Aug 2020, hra usage tracking report aug nembor
INC0004037017,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038342,"order management , medium,aero,e838141",SAP App Order Mgmt Run (NTT Data),,28,"ORDER MANAGEMENT , MEDIUM,AERO,E838141", order management medium aero e838141
INC0004035772,sap : pmt : pmt sap application : environmental health & safety,SAP App Environmental Health & Safety Run  (NTT Data),,20,SAP : PMT : PMT SAP Application : Environmental Health & Safety, sap pmt pmt sap application environmental health safety
INC0004040001,"finance controllinga , medium , <<hbt>> , h356055",SAP App FICO Run (NTT Data),Invoice Issues,21,"FINANCE AND CONTROLLINGA , MEDIUM , <<HBT>> , H356055", finance controllinga medium hbt h356055
INC0004041301,job erp-c-hts-sd-hts_hipi_lms_inv_post failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-SD-HTS_HIPI_LMS_INV_POST FAILURE Code 2 , job erp c hts sd hts hipi lms inv post failure code nembor
INC0004041325,"market , medium,aero,e557967",SAP App CS Run (NTT Data),,18,"AFTER MARKET , MEDIUM,AERO,E557967", market medium aero e55 6
INC0004037836,job erp-c-cga-p2p-zmm_ival_appr_nwk alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-P2P-ZMM_IVAL_APPR_NWK ALARM  MAXRUNALARM Code  , job erp c cga p2p zmm ival appr nwk alarm maxrunalarm code
INC0004039630,sap : hbt : application module issue : charm,SAP App Solution Manager Run (NTT Data),,33,SAP : HBT : Application or Module issue : CHARM, sap hbt application module issue charm
INC0004038334,job erp-c-hts-hr-movi_timesheet_v2_hour_event failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-HR-MOVI_TIMESHEET_V2_HOUR_EVENT FAILURE Code 5 , job erp c hts hr movi timesheet v2 hour event failure code nembor
INC0004035526,job erp-c-hcc-bas-sap-rsicfdlt failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-RSICFDLT FAILURE Code 5 , job erp c hcc bas sap rsicfdlt failure code nembor
INC0004037857,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004041394,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037901,sap : data file export issue,SAP App TECH Run (NTT Data),,35,SAP : Data File Export Issue, sap data file export issue
INC0004037154,"market , medium,aero,e130055",SAP Aftermarket Configuration Mgmt (ACM) RUN,,10,"AFTER MARKET , MEDIUM,AERO,E130055", market medium aero e130055
INC0004037529,job erp_c_hts_hr_corp_us_gnrlmstr alarm maxrunalarm code,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP_C_HTS_HR_CORP_US_GNRLMSTR ALARM  MAXRUNALARM Code  , job erp c hts hr corp us gnrlmstr alarm maxrunalarm code
INC0004035572,job erp-c-hts-hr #nembor#c-hr-ssicb #nembor#-zhrtaskgrp3 failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HTS-HR-289C-HR-SSICB-13971-ZHRTASKGRP3 FAILURE Code 16 , job erp c hts hr nembor c hr ssicb nembor zhrtaskgrp3 failure code nembor
INC0004037125,sap : documents not reflecting bi report,Analytics SAPBW Run (NTT Data),,2,SAP : Documents not reflecting in BI report, sap documents not reflecting bi report
INC0004035637,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004038350,job aup-ci-c-fscm-d #nembor#-uopemea failure code #nembor#,SAP App Batch Run - PMT (NTT Data),Job Failure,15,JOB AUP-CI-C-FSCM-D-900-UOPEMEA FAILURE Code 2 , job aup ci c fscm d nembor uopemea failure code nembor
INC0004035711,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037945,crm document(s) not distributed erp,SAP App CRM Run  (NTT Data),Order/Doc Stuck Failure,17,CRM document(s) not distributed to ERP, crm document s not distributed erp
INC0004036685,sap need know le placing on eu market,SAP App Sourcing Run (NTT Data),,34,SAP We need to know LE placing on the EU Market, sap need know le placing on eu market
INC0004039500,job erp-c-hcc-bas-sap-ccms-moni-batch-dp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-CCMS-MONI-BATCH-DP FAILURE Code 5 , job erp c hcc bas sap ccms moni batch dp failure code nembor
INC0004035249,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036608,sap application: (problem/error),LAN Unrestricted  (AT&T),,9,SAP Application: (problem/error), sap application problem error
INC0004039825,job erp-c-hcc-bas-sap-collector-for-none-r3-stat failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-COLLECTOR-FOR-NONE-R3-STAT FAILURE Code 5 , job erp c hcc bas sap collector for none r3 stat failure code nembor
INC0004039409,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038281,sps : oracle application : intelligrated : application issue,IGS Oracle Support,Access Request,7,SPS : Oracle Application : INTELLIGRATED  : Application Issue, sps oracle application intelligrated application issue
INC0004039830,sap : pmt : pmt sap application : gts - global trade services,SAP App GTS Run (NTT Data),,23,SAP : PMT : PMT SAP Application : GTS - Global Trade Services, sap pmt pmt sap application gts global trade services
INC0004037319,sap: product hierarchy change,SAP App Configuration (NTT Data),,19,SAP: Product Hierarchy change, sap product hierarchy change
INC0004036291,sap : po amendment report,SAP App Sourcing Run (NTT Data),,34,SAP :  PO amendment report, sap po amendment report
INC0004038970,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004036906,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004038887,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
INC0004038820,job erp-c-cga-fi-zfi-bcm-status-aero-bnp failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-CGA-FI-ZFI-BCM-STATUS-AERO-BNP FAILURE Code 5 , job erp c cga fi zfi bcm status aero bnp failure code nembor
INC0004037582,sap : remove batch sap,SAP App Manufacturing Run (NTT Data),,27,SAP : Remove Batch in SAP, sap remove batch sap
INC0004040790,job erp-c-hcc-bas-sap-soap-runtime-management failure code #nembor#,SAP App Batch Run - CORP (NTT Data),Job Failure,13,JOB ERP-C-HCC-BAS-SAP-SOAP-RUNTIME-MANAGEMENT FAILURE Code 5 , job erp c hcc bas sap soap runtime management failure code nembor
